tripduration.int32(),starttime.date(2006-01-02 15:04:05),stoptime.date(2006-01-02 15:04:05),start_station_id.string(),start_station_name.string(),start_station_latitude.auto(),start_station_longitude.auto(),end_station_id.string(),end_station_name.string(),end_station_latitude.auto(),end_station_longitude.auto(),bikeid.string(),usertype.string(),birth_year.auto(),gender.auto()
378,2015-03-02 08:27:30,2015-03-02 08:33:49,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1264,Subscriber,1984,1
642,2015-03-02 08:29:09,2015-03-02 08:39:51,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,107,Ames St at Main St,42.3625,-71.08822,871,Subscriber,1985,2
221,2015-03-02 08:32:44,2015-03-02 08:36:26,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1098,Customer,1990,1
515,2015-03-02 08:32:53,2015-03-02 08:41:29,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1291,Customer,1992,2
389,2015-03-02 08:34:52,2015-03-02 08:41:22,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,894,Subscriber,1981,1
627,2015-03-02 08:36:18,2015-03-02 08:46:46,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,998,Customer,1976,2
396,2015-03-02 08:38:08,2015-03-02 08:44:44,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,107,Ames St at Main St,42.3625,-71.08822,1094,Customer,1967,1
989,2015-03-02 08:39:03,2015-03-02 08:55:33,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1023,Subscriber,\N,0
738,2015-03-02 08:43:36,2015-03-02 08:55:55,115,Porter Square Station,42.387995,-71.119084,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1082,Customer,1986,1
459,2015-03-02 08:45:45,2015-03-02 08:53:25,107,Ames St at Main St,42.3625,-71.08822,143,EF - North Point Park,42.369885,-71.069957,1094,Subscriber,1984,1
109,2015-03-02 08:46:09,2015-03-02 08:47:58,107,Ames St at Main St,42.3625,-71.08822,141,Kendall Street,42.363560158429884,-71.08216792345047,990,Subscriber,1988,1
1175,2015-03-02 08:51:38,2015-03-02 09:11:14,115,Porter Square Station,42.387995,-71.119084,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,670,Subscriber,1987,1
778,2015-03-02 08:53:51,2015-03-02 09:06:49,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,671,Customer,1989,1
450,2015-03-02 08:54:02,2015-03-02 09:01:33,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,107,Ames St at Main St,42.3625,-71.08822,1291,Subscriber,1980,1
600,2015-03-02 08:55:20,2015-03-02 09:05:21,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1006,Subscriber,1987,1
600,2015-03-02 08:56:51,2015-03-02 09:06:51,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1031,Subscriber,1960,1
1630,2015-03-02 09:00:20,2015-03-02 09:27:30,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,736,Subscriber,1956,2
237,2015-03-02 09:01:54,2015-03-02 09:05:52,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,709,Subscriber,1987,1
373,2015-03-02 09:03:47,2015-03-02 09:10:01,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,1283,Customer,1987,2
519,2015-03-02 09:07:27,2015-03-02 09:16:06,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,107,Ames St at Main St,42.3625,-71.08822,714,Subscriber,1985,1
816,2015-03-02 09:09:11,2015-03-02 09:22:48,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,141,Kendall Street,42.363560158429884,-71.08216792345047,998,Customer,1980,1
208,2015-03-02 09:12:03,2015-03-02 09:15:31,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,657,Subscriber,1985,1
623,2015-03-02 09:12:43,2015-03-02 09:23:06,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,782,Customer,1992,2
409,2015-03-02 09:13:48,2015-03-02 09:20:38,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1098,Subscriber,1986,1
529,2015-03-02 09:16:14,2015-03-02 09:25:04,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,107,Ames St at Main St,42.3625,-71.08822,938,Customer,1985,1
415,2015-03-02 09:21:49,2015-03-02 09:28:45,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,984,Subscriber,1987,2
283,2015-03-02 09:23:30,2015-03-02 09:28:13,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,751,Subscriber,1974,2
267,2015-03-02 09:25:28,2015-03-02 09:29:55,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,640,Customer,1996,1
564,2015-03-02 09:27:11,2015-03-02 09:36:36,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,959,Subscriber,1988,2
414,2015-03-02 09:36:44,2015-03-02 09:43:39,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,773,Customer,1983,1
720,2015-03-02 09:38:31,2015-03-02 09:50:32,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,896,Subscriber,1982,1
590,2015-03-02 09:40:05,2015-03-02 09:49:55,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,798,Customer,1983,1
342,2015-03-02 09:41:00,2015-03-02 09:46:43,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,774,Subscriber,1988,1
794,2015-03-02 09:43:13,2015-03-02 09:56:28,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,143,EF - North Point Park,42.369885,-71.069957,874,Subscriber,1986,1
441,2015-03-02 09:47:59,2015-03-02 09:55:21,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,107,Ames St at Main St,42.3625,-71.08822,1106,Subscriber,1984,1
134,2015-03-02 09:50:22,2015-03-02 09:52:37,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,143,EF - North Point Park,42.369885,-71.069957,1064,Subscriber,1984,1
240,2015-03-02 09:53:07,2015-03-02 09:57:08,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,842,Subscriber,1994,1
644,2015-03-02 09:54:51,2015-03-02 10:05:36,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,868,Subscriber,1985,2
364,2015-03-02 09:55:59,2015-03-02 10:02:03,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,999,Customer,1987,2
185,2015-03-02 09:57:17,2015-03-02 10:00:22,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,143,EF - North Point Park,42.369885,-71.069957,656,Subscriber,1986,1
297,2015-03-02 09:57:22,2015-03-02 10:02:20,107,Ames St at Main St,42.3625,-71.08822,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,938,Customer,1978,1
450,2015-03-02 09:59:00,2015-03-02 10:06:31,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,107,Ames St at Main St,42.3625,-71.08822,1100,Subscriber,1983,1
403,2015-03-02 10:02:37,2015-03-02 10:09:20,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,657,Subscriber,1989,2
473,2015-03-02 10:04:05,2015-03-02 10:11:58,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1011,Customer,1970,1
389,2015-03-02 10:11:01,2015-03-02 10:17:30,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1006,Subscriber,1975,1
302,2015-03-02 10:25:40,2015-03-02 10:30:43,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,107,Ames St at Main St,42.3625,-71.08822,852,Subscriber,1991,1
24124,2015-03-02 10:27:23,2015-03-02 17:09:28,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,654,Subscriber,1975,1
742,2015-03-02 10:33:25,2015-03-02 10:45:48,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,806,Subscriber,1985,1
370,2015-03-02 10:33:57,2015-03-02 10:40:08,115,Porter Square Station,42.387995,-71.119084,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1302,Subscriber,1967,1
517,2015-03-02 10:37:18,2015-03-02 10:45:56,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1112,Subscriber,1981,1
480,2015-03-02 10:40:38,2015-03-02 10:48:39,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,776,Subscriber,1993,1
332,2015-03-02 10:43:14,2015-03-02 10:48:47,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,658,Subscriber,1990,1
600,2015-03-02 10:43:25,2015-03-02 10:53:26,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,107,Ames St at Main St,42.3625,-71.08822,1011,Subscriber,1987,1
469,2015-03-02 10:44:38,2015-03-02 10:52:27,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,961,Subscriber,1956,1
812,2015-03-02 10:48:30,2015-03-02 11:02:02,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,107,Ames St at Main St,42.3625,-71.08822,682,Subscriber,\N,0
413,2015-03-02 10:52:20,2015-03-02 10:59:13,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,107,Ames St at Main St,42.3625,-71.08822,1277,Subscriber,1984,1
1342,2015-03-02 10:54:25,2015-03-02 11:16:47,142,Alewife Station at Russell Field,42.396105,-71.139459,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,764,Subscriber,1979,1
529,2015-03-02 10:54:55,2015-03-02 11:03:45,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,881,Subscriber,1974,1
494,2015-03-02 10:55:44,2015-03-02 11:03:59,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,107,Ames St at Main St,42.3625,-71.08822,1296,Subscriber,1988,1
368,2015-03-02 10:57:19,2015-03-02 11:03:27,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1280,Subscriber,1956,1
488,2015-03-02 10:59:04,2015-03-02 11:07:12,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,107,Ames St at Main St,42.3625,-71.08822,956,Customer,1986,1
359,2015-03-02 11:00:16,2015-03-02 11:06:15,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,743,Subscriber,1985,1
421,2015-03-02 11:01:22,2015-03-02 11:08:23,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,754,Subscriber,1991,1
242,2015-03-02 11:07:51,2015-03-02 11:11:53,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,141,Kendall Street,42.363560158429884,-71.08216792345047,736,Subscriber,1984,1
394,2015-03-02 11:08:18,2015-03-02 11:14:53,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,776,Subscriber,1993,1
276,2015-03-02 11:17:35,2015-03-02 11:22:12,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,141,Kendall Street,42.363560158429884,-71.08216792345047,1097,Customer,1993,1
280,2015-03-02 11:20:06,2015-03-02 11:24:47,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1300,Subscriber,1990,1
865,2015-03-02 11:31:59,2015-03-02 11:46:25,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,887,Subscriber,1956,1
270,2015-03-02 11:34:52,2015-03-02 11:39:22,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1074,Customer,1973,1
572,2015-03-02 11:38:27,2015-03-02 11:48:00,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,671,Customer,1970,2
514,2015-03-02 11:39:43,2015-03-02 11:48:18,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,865,Subscriber,1984,1
305,2015-03-02 11:39:52,2015-03-02 11:44:57,107,Ames St at Main St,42.3625,-71.08822,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1292,Subscriber,1984,1
311,2015-03-02 11:40:08,2015-03-02 11:45:20,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,115,Porter Square Station,42.387995,-71.119084,1110,Subscriber,1985,2
359,2015-03-02 11:41:53,2015-03-02 11:47:52,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1074,Subscriber,1983,1
598,2015-03-02 11:46:21,2015-03-02 11:56:19,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,854,Subscriber,1974,2
1583,2015-03-02 11:48:22,2015-03-02 12:14:45,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1280,Subscriber,1933,1
219,2015-03-02 11:53:06,2015-03-02 11:56:46,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,141,Kendall Street,42.363560158429884,-71.08216792345047,777,Subscriber,1988,1
333,2015-03-02 11:53:43,2015-03-02 11:59:16,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,999,Customer,1946,1
1258,2015-03-02 11:55:15,2015-03-02 12:16:13,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,143,EF - North Point Park,42.369885,-71.069957,1290,Subscriber,1963,1
731,2015-03-02 12:03:34,2015-03-02 12:15:45,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1084,Subscriber,1978,2
371,2015-03-02 12:05:27,2015-03-02 12:11:38,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,868,Subscriber,1980,2
840,2015-03-02 12:19:22,2015-03-02 12:33:23,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1292,Subscriber,1984,1
323,2015-03-02 12:19:33,2015-03-02 12:24:56,115,Porter Square Station,42.387995,-71.119084,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1077,Subscriber,1985,2
565,2015-03-02 12:21:49,2015-03-02 12:31:14,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,107,Ames St at Main St,42.3625,-71.08822,999,Customer,1946,1
359,2015-03-02 12:22:33,2015-03-02 12:28:32,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,774,Subscriber,1964,1
450,2015-03-02 12:25:20,2015-03-02 12:32:51,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,1301,Customer,1984,1
166,2015-03-02 12:35:39,2015-03-02 12:38:25,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,658,Subscriber,1985,2
740,2015-03-02 12:37:28,2015-03-02 12:49:48,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,891,Customer,1954,1
693,2015-03-02 12:38:50,2015-03-02 12:50:23,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1047,Subscriber,1980,2
430,2015-03-02 12:38:53,2015-03-02 12:46:03,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1113,Subscriber,1978,2
