"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"1100","2016-02-01 02:12:00","2016-02-01 02:30:20","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","118","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","1092","Subscriber","1964","1"
"220","2016-02-01 02:21:57","2016-02-01 02:25:37","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","768","Subscriber","1995","2"
"1738","2016-02-01 02:34:41","2016-02-01 03:03:40","179","MIT Vassar St","42.355601213279265","-71.10394477844238","177","University Park","42.36264779118595","-71.10006093978882","1554","Subscriber",\N,"0"
"1725","2016-02-01 02:34:46","2016-02-01 03:03:31","179","MIT Vassar St","42.355601213279265","-71.10394477844238","177","University Park","42.36264779118595","-71.10006093978882","1559","Subscriber",\N,"0"
"1474","2016-02-01 02:39:02","2016-02-01 03:03:37","179","MIT Vassar St","42.355601213279265","-71.10394477844238","177","University Park","42.36264779118595","-71.10006093978882","1099","Subscriber",\N,"0"
"803","2016-02-01 03:07:52","2016-02-01 03:21:15","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","1106","Subscriber","1985","1"
"506","2016-02-01 05:02:27","2016-02-01 05:10:54","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1108","Subscriber","1968","1"
"1184","2016-02-01 05:54:21","2016-02-01 06:14:05","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","143","EF - North Point Park","42.369885","-71.069957","1086","Customer","1970","1"
"216","2016-02-01 06:16:32","2016-02-01 06:20:08","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","816","Subscriber","1986","1"
"706","2016-02-01 06:34:03","2016-02-01 06:45:50","143","EF - North Point Park","42.369885","-71.069957","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","873","Customer","1960","2"
"493","2016-02-01 06:35:25","2016-02-01 06:43:39","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","637","Customer","1961","2"
"758","2016-02-01 06:35:29","2016-02-01 06:48:07","115","Porter Square Station","42.387995","-71.119084","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1282","Customer","1974","2"
"742","2016-02-01 06:35:31","2016-02-01 06:47:53","115","Porter Square Station","42.387995","-71.119084","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1274","Customer","1968","1"
"346","2016-02-01 06:37:39","2016-02-01 06:43:25","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","703","Subscriber","1989","1"
"549","2016-02-01 06:38:49","2016-02-01 06:47:59","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1266","Subscriber","1980","2"
"463","2016-02-01 06:49:50","2016-02-01 06:57:34","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","180","Mt Auburn","42.37478628706384","-71.13320231437683","638","Subscriber","1986","1"
"399","2016-02-01 06:51:21","2016-02-01 06:58:00","179","MIT Vassar St","42.355601213279265","-71.10394477844238","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1564","Subscriber","1992","1"
"199","2016-02-01 06:57:21","2016-02-01 07:00:40","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","751","Customer","1980","1"
"332","2016-02-01 06:58:32","2016-02-01 07:04:05","145","Rindge Avenue - O'Neill Library","42.392766","-71.129042","115","Porter Square Station","42.387995","-71.119084","870","Subscriber","1972","1"
"293","2016-02-01 06:58:49","2016-02-01 07:03:42","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","180","Mt Auburn","42.37478628706384","-71.13320231437683","1324","Subscriber","1987","2"
"403","2016-02-01 07:02:49","2016-02-01 07:09:32","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1303","Customer","1983","1"
"300","2016-02-01 07:13:13","2016-02-01 07:18:14","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","917","Subscriber","1980","2"
"340","2016-02-01 07:15:25","2016-02-01 07:21:05","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","1062","Customer","1987","1"
"246","2016-02-01 07:21:44","2016-02-01 07:25:50","118","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","142","Alewife Station at Russell Field","42.396105","-71.139459","1093","Customer","1976","2"
"648","2016-02-01 07:25:33","2016-02-01 07:36:22","115","Porter Square Station","42.387995","-71.119084","180","Mt Auburn","42.37478628706384","-71.13320231437683","740","Customer","1974","2"
"1002","2016-02-01 07:26:09","2016-02-01 07:42:51","115","Porter Square Station","42.387995","-71.119084","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","643","Subscriber","1970","2"
"834","2016-02-01 07:26:29","2016-02-01 07:40:23","115","Porter Square Station","42.387995","-71.119084","117","Binney St / Sixth St","42.366095","-71.086388","1556","Subscriber","1969","1"
"1220","2016-02-01 07:26:40","2016-02-01 07:47:00","115","Porter Square Station","42.387995","-71.119084","141","Kendall Street","42.363560158429884","-71.08216792345047","1268","Customer","1963","2"
"310","2016-02-01 07:28:19","2016-02-01 07:33:29","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","702","Customer","1983","2"
"299","2016-02-01 07:28:23","2016-02-01 07:33:23","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","1239","Customer","1982","1"
"554","2016-02-01 07:28:46","2016-02-01 07:38:00","176","Lesley University","42.38674802045056","-71.11901879310608","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","1277","Subscriber","1981","2"
"576","2016-02-01 07:29:33","2016-02-01 07:39:09","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","1550","Subscriber","1983","1"
"865","2016-02-01 07:29:56","2016-02-01 07:44:21","143","EF - North Point Park","42.369885","-71.069957","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","735","Customer","1979","1"
"199","2016-02-01 07:30:16","2016-02-01 07:33:35","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","1273","Subscriber","1982","2"
"490","2016-02-01 07:31:09","2016-02-01 07:39:20","143","EF - North Point Park","42.369885","-71.069957","117","Binney St / Sixth St","42.366095","-71.086388","1086","Subscriber","1979","1"
"486","2016-02-01 07:36:34","2016-02-01 07:44:40","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","107","Ames St at Main St","42.3625","-71.08822","1023","Customer","1983","1"
"583","2016-02-01 07:36:36","2016-02-01 07:46:20","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1279","Subscriber","1992","1"
"260","2016-02-01 07:36:55","2016-02-01 07:41:15","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1568","Subscriber","1982","1"
"514","2016-02-01 07:45:03","2016-02-01 07:53:38","115","Porter Square Station","42.387995","-71.119084","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","646","Subscriber","1988","2"
"948","2016-02-01 07:45:09","2016-02-01 08:00:57","115","Porter Square Station","42.387995","-71.119084","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1560","Subscriber","1978","1"
"736","2016-02-01 07:45:21","2016-02-01 07:57:37","115","Porter Square Station","42.387995","-71.119084","180","Mt Auburn","42.37478628706384","-71.13320231437683","659","Customer","1986","2"
"532","2016-02-01 07:47:53","2016-02-01 07:56:46","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","651","Customer","1974","2"
"258","2016-02-01 07:50:08","2016-02-01 07:54:27","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1572","Subscriber","1991","1"
"174","2016-02-01 07:51:37","2016-02-01 07:54:32","117","Binney St / Sixth St","42.366095","-71.086388","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","894","Customer","1989","1"
"994","2016-02-01 07:52:48","2016-02-01 08:09:22","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","143","EF - North Point Park","42.369885","-71.069957","1313","Subscriber","1992","2"
"759","2016-02-01 07:54:16","2016-02-01 08:06:55","143","EF - North Point Park","42.369885","-71.069957","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1087","Subscriber","1961","1"
"728","2016-02-01 07:56:49","2016-02-01 08:08:57","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","177","University Park","42.36264779118595","-71.10006093978882","731","Customer","1965","1"
"269","2016-02-01 07:58:44","2016-02-01 08:03:14","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","816","Subscriber","1988","1"
"534","2016-02-01 07:59:01","2016-02-01 08:07:56","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","1267","Subscriber","1988","2"
"150","2016-02-01 07:59:06","2016-02-01 08:01:36","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","1073","Customer","1984","2"
"515","2016-02-01 07:59:36","2016-02-01 08:08:11","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","107","Ames St at Main St","42.3625","-71.08822","706","Customer","1983","2"
"319","2016-02-01 07:59:40","2016-02-01 08:04:59","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","764","Subscriber","1987","1"
"406","2016-02-01 07:59:41","2016-02-01 08:06:27","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","1107","Subscriber","1965","1"
"377","2016-02-01 08:01:08","2016-02-01 08:07:26","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","766","Subscriber","1986","1"
"432","2016-02-01 08:01:26","2016-02-01 08:08:39","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","1085","Subscriber","1991","1"
"192","2016-02-01 08:03:28","2016-02-01 08:06:40","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","637","Subscriber","1986","2"
"303","2016-02-01 08:05:00","2016-02-01 08:10:03","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","751","Customer","1960","2"
"368","2016-02-01 08:05:24","2016-02-01 08:11:32","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","1110","Subscriber","1991","1"
"731","2016-02-01 08:05:46","2016-02-01 08:17:58","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","735","Subscriber","1981","1"
"353","2016-02-01 08:06:18","2016-02-01 08:12:12","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","179","MIT Vassar St","42.355601213279265","-71.10394477844238","860","Subscriber","1975","1"
"746","2016-02-01 08:06:52","2016-02-01 08:19:18","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","957","Subscriber","1983","1"
"285","2016-02-01 08:08:00","2016-02-01 08:12:46","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","1270","Subscriber","1954","2"
"442","2016-02-01 08:08:40","2016-02-01 08:16:02","117","Binney St / Sixth St","42.366095","-71.086388","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1566","Subscriber","1961","1"
"339","2016-02-01 08:10:56","2016-02-01 08:16:35","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","1303","Customer","1983","1"
"623","2016-02-01 08:12:54","2016-02-01 08:23:17","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","1561","Subscriber","1990","2"
"503","2016-02-01 08:13:29","2016-02-01 08:21:53","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","646","Subscriber","1990","1"
"497","2016-02-01 08:13:53","2016-02-01 08:22:11","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","1047","Subscriber","1985","1"
"159","2016-02-01 08:15:00","2016-02-01 08:17:40","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","117","Binney St / Sixth St","42.366095","-71.086388","894","Customer","1989","1"
"981","2016-02-01 08:15:55","2016-02-01 08:32:17","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","668","Subscriber","1987","2"
"322","2016-02-01 08:16:06","2016-02-01 08:21:28","179","MIT Vassar St","42.355601213279265","-71.10394477844238","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1286","Subscriber","1988","1"
"1252","2016-02-01 08:16:11","2016-02-01 08:37:04","115","Porter Square Station","42.387995","-71.119084","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","870","Customer","1973","1"
"491","2016-02-01 08:16:23","2016-02-01 08:24:35","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1106","Subscriber","1981","1"
"1095","2016-02-01 08:16:35","2016-02-01 08:34:50","142","Alewife Station at Russell Field","42.396105","-71.139459","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","716","Subscriber","1979","1"
"592","2016-02-01 08:18:07","2016-02-01 08:27:59","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","1111","Subscriber","1981","2"
"427","2016-02-01 08:18:52","2016-02-01 08:26:00","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","1305","Subscriber","1978","1"
"270","2016-02-01 08:19:42","2016-02-01 08:24:13","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","655","Customer","1985","1"
"446","2016-02-01 08:20:28","2016-02-01 08:27:54","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","645","Customer","1970","2"
"110","2016-02-01 08:20:41","2016-02-01 08:22:32","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","897","Subscriber","1990","2"
"710","2016-02-01 08:21:03","2016-02-01 08:32:54","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","141","Kendall Street","42.363560158429884","-71.08216792345047","1270","Customer","1978","1"
"476","2016-02-01 08:21:44","2016-02-01 08:29:41","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","141","Kendall Street","42.363560158429884","-71.08216792345047","1262","Customer","1975","1"
"820","2016-02-01 08:23:05","2016-02-01 08:36:46","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","107","Ames St at Main St","42.3625","-71.08822","926","Subscriber","1987","1"
"846","2016-02-01 08:23:42","2016-02-01 08:37:48","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","896","Subscriber","1980","1"
"562","2016-02-01 08:24:30","2016-02-01 08:33:52","140","Danehy Park","42.388966","-71.132788","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","1570","Subscriber","1984","1"
"401","2016-02-01 08:25:03","2016-02-01 08:31:44","176","Lesley University","42.38674802045056","-71.11901879310608","140","Danehy Park","42.388966","-71.132788","1555","Customer","1960","2"
"424","2016-02-01 08:25:38","2016-02-01 08:32:43","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","756","Subscriber","1990","2"
"199","2016-02-01 08:26:25","2016-02-01 08:29:44","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","179","MIT Vassar St","42.355601213279265","-71.10394477844238","657","Subscriber","1993","1"
"172","2016-02-01 08:28:20","2016-02-01 08:31:13","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1272","Subscriber","1986","1"
"626","2016-02-01 08:29:49","2016-02-01 08:40:15","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","107","Ames St at Main St","42.3625","-71.08822","1098","Customer","1976","1"
"646","2016-02-01 08:31:21","2016-02-01 08:42:08","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","956","Customer","1982","1"
"524","2016-02-01 08:31:22","2016-02-01 08:40:06","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1267","Subscriber","1988","2"
"518","2016-02-01 08:31:36","2016-02-01 08:40:15","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","107","Ames St at Main St","42.3625","-71.08822","742","Subscriber","1992","1"
"621","2016-02-01 08:31:37","2016-02-01 08:41:59","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","1542","Subscriber","1988","1"
"264","2016-02-01 08:32:01","2016-02-01 08:36:25","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","655","Subscriber","1986","1"
"303","2016-02-01 08:33:07","2016-02-01 08:38:10","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","682","Customer","1979","1"
"531","2016-02-01 08:35:32","2016-02-01 08:44:23","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","1541","Subscriber","1992","1"
"341","2016-02-01 08:36:02","2016-02-01 08:41:43","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1075","Customer","1980","1"
"558","2016-02-01 08:36:37","2016-02-01 08:45:56","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","1553","Subscriber","1988","1"
"243","2016-02-01 08:37:06","2016-02-01 08:41:10","118","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","142","Alewife Station at Russell Field","42.396105","-71.139459","1044","Customer","1985","1"
"464","2016-02-01 08:37:18","2016-02-01 08:45:02","117","Binney St / Sixth St","42.366095","-71.086388","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","894","Customer","1956","2"
"253","2016-02-01 08:37:40","2016-02-01 08:41:54","117","Binney St / Sixth St","42.366095","-71.086388","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1563","Subscriber","1991","1"
"411","2016-02-01 08:38:03","2016-02-01 08:44:55","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","803","Subscriber","1990","1"
"341","2016-02-01 08:38:23","2016-02-01 08:44:05","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1118","Subscriber","1978","1"
"161","2016-02-01 08:38:44","2016-02-01 08:41:25","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","1091","Customer","1987","1"
"595","2016-02-01 08:38:59","2016-02-01 08:48:54","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","107","Ames St at Main St","42.3625","-71.08822","1102","Customer","1985","1"
"460","2016-02-01 08:38:58","2016-02-01 08:46:39","176","Lesley University","42.38674802045056","-71.11901879310608","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","892","Subscriber","1978","2"
"588","2016-02-01 08:39:16","2016-02-01 08:49:04","179","MIT Vassar St","42.355601213279265","-71.10394477844238","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","657","Customer","1987","1"
"755","2016-02-01 08:39:20","2016-02-01 08:51:56","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","1536","Customer","1977","2"
"665","2016-02-01 08:39:31","2016-02-01 08:50:37","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","798","Subscriber","1982","1"
"478","2016-02-01 08:39:48","2016-02-01 08:47:46","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","774","Subscriber","1981","2"
"291","2016-02-01 08:40:05","2016-02-01 08:44:57","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","648","Subscriber","1983","2"
"287","2016-02-01 08:40:59","2016-02-01 08:45:46","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1560","Subscriber","1991","1"
"362","2016-02-01 08:42:11","2016-02-01 08:48:13","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","682","Customer","1962","1"
"381","2016-02-01 08:42:11","2016-02-01 08:48:32","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","1531","Subscriber","1992","1"
"356","2016-02-01 08:43:04","2016-02-01 08:49:00","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","999","Customer","1978","1"
"619","2016-02-01 08:44:20","2016-02-01 08:54:39","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","117","Binney St / Sixth St","42.366095","-71.086388","1566","Customer","1965","2"
"414","2016-02-01 08:44:28","2016-02-01 08:51:22","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","741","Subscriber","1994","2"
"1262","2016-02-01 08:44:48","2016-02-01 09:05:50","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","1","18 Dorrance Warehouse","42.387151","-71.075978","687","Subscriber","1964","1"
